"ID","x","y"
1,-89.734971,20.987516
2,-89.735358,20.987892
3,-89.735351,20.987946
4,-89.734031,20.988897
5,-89.734375,20.988592
6,-89.734367,20.988588
7,-89.734365,20.988588
8,-89.734952,20.98915
9,-89.734804,20.98914
10,-89.734809,20.989125
11,-89.734809,20.989125
12,-89.734486,20.989058
13,-89.734486,20.989049
14,-89.734389,20.989003
15,-89.734439,20.98901
16,-89.734447,20.989076
1,-89.734863,20.989239
2,-89.734864,20.989207
3,-89.734743,20.989216
4,-89.734727,20.989222
5,-89.734661,20.989365
6,-89.73458,20.989265
7,-89.73453,20.989355
8,-89.734725,20.989351
9,-89.73506,20.989041
10,-89.735075,20.989039
11,-89.735087,20.989044
12,-89.735093,20.98906
13,-89.735088,20.989076
14,-89.735077,20.989075
15,-89.735055,20.989078
16,-89.735058,20.989125
17,-89.735056,20.989139
